,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,command_count,last_command_mss_coarse_time,last_command_mss_fine_time,word__spare,last_command_opcode,last_command_parameter_1,last_command_parameter_2,last_command_parameter_3,last_command_parameter_4,last_command_parameter_5,last_command_parameter_6,word_23_spare,word_24_spare,word_25_spare,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,command_response_high_word,command_response_low_word
111,03/06/2017 01:35:28.9444,[0000253] cmd:success [0x00000001],402,17,0,58,59,0,0,0,1,1026,3,836,49,9465407,0,0,,,,,,,,,,,,,,,,,,,,,
112,03/06/2017 01:35:28.9524,ssd:1   - disk detected... please wait,402,17,0,58,59,0,0,0,1,1026,3,837,49,9465545,0,0,,,,,,,,,,,,,,,,,,,,,
113,03/06/2017 01:35:34.0389,ssd:1   - disk initializing...,402,17,0,58,59,0,0,0,1,1026,3,838,49,9470745,0,0,,,,,,,,,,,,,,,,,,,,,
114,03/06/2017 01:35:34.0479,ssd:1   - disk capacity = 250069680,402,17,0,58,59,0,0,0,1,1026,3,839,49,9470746,0,0,,,,,,,,,,,,,,,,,,,,,
115,03/06/2017 01:35:34.0569,ssd:1   - partition: read  @         0 crc:,402,17,0,58,59,0,0,0,1,1026,3,840,49,9470753,0,0,,,,,,,,,,,,,,,,,,,,,
116,03/06/2017 01:35:34.0659,ssd:1   - partition: write @ 250069424 crc:,402,17,0,58,59,0,0,0,1,1026,3,841,49,9470753,0,0,,,,,,,,,,,,,,,,,,,,,
117,03/06/2017 01:35:34.0760,ssd:1   - detected 3 partitions,402,17,0,58,59,0,0,0,1,1026,3,842,49,9470836,0,0,,,,,,,,,,,,,,,,,,,,,
118,03/06/2017 01:35:34.0850,ssd:1:1 - directory: read  @       128 crc:,402,17,0,58,59,0,0,0,1,1026,3,843,49,9470839,0,0,,,,,,,,,,,,,,,,,,,,,
119,03/06/2017 01:35:34.0940,ssd:1:2 - directory: read  @  15625128 crc:,402,17,0,58,59,0,0,0,1,1026,3,844,49,9470842,0,0,,,,,,,,,,,,,,,,,,,,,
120,03/06/2017 01:35:34.1040,ssd:1:3 - directory: read  @ 132812628 crc:,402,17,0,58,59,0,0,0,1,1026,3,845,49,9470846,0,0,,,,,,,,,,,,,,,,,,,,,
121,03/06/2017 01:39:04.0773,,402,17,0,58,59,0,0,0,1,1025,3,60,49,9680697,0,0,60.0,1172864337.0,109.0,105.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,03/06/2017 01:39:04.0843,[1553   ] SSD_RECORD ssd=1 par=1 skip=0,402,17,0,58,59,0,0,0,1,1026,3,846,49,9680612,0,0,,,,,,,,,,,,,,,,,,,,,
123,03/06/2017 01:39:04.0913,ssd:1:1 - record partition...,402,17,0,58,59,0,0,0,1,1026,3,847,49,9680612,0,0,,,,,,,,,,,,,,,,,,,,,
