,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,ascii_data
91,03/06/2017 01:27:37.9703,[130:008] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,786,49,8995336,0,0,[130:008] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
92,03/06/2017 01:27:37.9793,[0000231] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,787,49,8995342,0,0,[0000231] cmd:success [0x00000001]
93,03/06/2017 01:27:37.9793,[0000231] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,787,49,8995342,0,0,[0000231] cmd:success [0x00000001]
94,03/06/2017 01:27:37.9893,[130:009] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,788,49,8995343,0,0,[130:009] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
95,03/06/2017 01:27:37.9893,[130:009] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,788,49,8995343,0,0,[130:009] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
96,03/06/2017 01:27:38.9984,[0000232] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,789,49,8995350,0,0,[0000232] cmd:success [0x00000001]
97,03/06/2017 01:27:38.9984,[0000232] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,789,49,8995350,0,0,[0000232] cmd:success [0x00000001]
98,03/06/2017 01:27:39.0074,[130:010] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,790,49,8995351,0,0,[130:010] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
99,03/06/2017 01:27:39.0074,[130:010] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,790,49,8995351,0,0,[130:010] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
100,03/06/2017 01:27:39.0164,[0000233] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,791,49,8995358,0,0,[0000233] cmd:success [0x00000001]
101,03/06/2017 01:27:39.0164,[0000233] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,791,49,8995358,0,0,[0000233] cmd:success [0x00000001]
102,03/06/2017 01:27:39.0265,[130:011] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,792,49,8995358,0,0,[130:011] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
103,03/06/2017 01:27:39.0265,[130:011] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,792,49,8995358,0,0,[130:011] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
104,03/06/2017 01:27:39.0355,[0000234] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,793,49,8995365,0,0,[0000234] cmd:success [0x00000001]
105,03/06/2017 01:27:39.0355,[0000234] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,793,49,8995365,0,0,[0000234] cmd:success [0x00000001]
106,03/06/2017 01:27:39.0465,[130:012] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,794,49,8995366,0,0,[130:012] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
107,03/06/2017 01:27:39.0465,[130:012] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,794,49,8995366,0,0,[130:012] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
108,03/06/2017 01:27:39.0565,[0000235] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,795,49,8995373,0,0,[0000235] cmd:success [0x00000001]
109,03/06/2017 01:27:39.0565,[0000235] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,795,49,8995373,0,0,[0000235] cmd:success [0x00000001]
110,03/06/2017 01:27:39.0655,[130:013] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,796,49,8995374,0,0,[130:013] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
111,03/06/2017 01:27:39.0655,[130:013] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,796,49,8995374,0,0,[130:013] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
112,03/06/2017 01:27:39.0745,[0000236] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,797,49,8995381,0,0,[0000236] cmd:success [0x00000001]
113,03/06/2017 01:27:39.0745,[0000236] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,797,49,8995381,0,0,[0000236] cmd:success [0x00000001]
114,03/06/2017 01:27:39.0845,[0000236] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,797,49,8995381,0,0,[0000236] cmd:success [0x00000001]
115,03/06/2017 01:27:39.0845,[0000236] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,797,49,8995381,0,0,[0000236] cmd:success [0x00000001]
116,03/06/2017 01:27:39.8935,[130:014] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,798,49,8995382,0,0,[130:014] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
117,03/06/2017 01:27:39.8935,[130:014] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,798,49,8995382,0,0,[130:014] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
118,03/06/2017 01:27:39.9025,[0000237] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,799,49,8995388,0,0,[0000237] cmd:success [0x00000001]
119,03/06/2017 01:27:39.9025,[0000237] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,799,49,8995388,0,0,[0000237] cmd:success [0x00000001]
120,03/06/2017 01:27:39.9115,[130:015] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,800,49,8995389,0,0,[130:015] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
121,03/06/2017 01:27:39.9115,[130:015] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,800,49,8995389,0,0,[130:015] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
122,03/06/2017 01:27:39.9215,[0000238] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,801,49,8995395,0,0,[0000238] cmd:success [0x00000001]
123,03/06/2017 01:27:39.9215,[0000238] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,801,49,8995395,0,0,[0000238] cmd:success [0x00000001]
124,03/06/2017 01:27:39.9285,[130:016] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,802,49,8995397,0,0,[130:016] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
125,03/06/2017 01:27:39.9285,[130:016] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,802,49,8995397,0,0,[130:016] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
126,03/06/2017 01:27:39.9345,[0000239] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,803,49,8995403,0,0,[0000239] cmd:success [0x00000001]
127,03/06/2017 01:27:39.9345,[0000239] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,803,49,8995403,0,0,[0000239] cmd:success [0x00000001]
128,03/06/2017 01:27:39.9425,[130:017] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,804,49,8995404,0,0,[130:017] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
129,03/06/2017 01:27:39.9425,[130:017] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,804,49,8995404,0,0,[130:017] MOTOR_WRITE mcb=%1 mot=1 addr=0x1
130,03/06/2017 01:27:39.9515,[0000240] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,805,49,8995410,0,0,[0000240] cmd:success [0x00000001]
131,03/06/2017 01:27:39.9515,[0000240] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,805,49,8995410,0,0,[0000240] cmd:success [0x00000001]
132,03/06/2017 01:27:39.9625,[130:018] MOTOR_READ mcb=%1 mot=1 addr=0x0E,402,17,0,57,59,0,0,0,1,1026,3,806,49,8995411,0,0,[130:018] MOTOR_READ mcb=%1 mot=1 addr=0x0E
133,03/06/2017 01:27:39.9625,[130:018] MOTOR_READ mcb=%1 mot=1 addr=0x0E,402,17,0,57,59,0,0,0,1,1026,3,806,49,8995411,0,0,[130:018] MOTOR_READ mcb=%1 mot=1 addr=0x0E
134,03/06/2017 01:27:39.9725,[0000241] cmd:success [0x00000028],402,17,0,57,59,0,0,0,1,1026,3,807,49,8995467,0,0,[0000241] cmd:success [0x00000028]
