,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,dynamics_profile_amplitude,dynamics_profile_start_frequency,dynamics_profile_stop_frequency,dynamics_profile_start_window,dynamics_profile_stop_window,dynamics_profile_sweep_duration,iv_sweep_mask_cell_string_,iv_sweep_steps,iv_sweep_min_current,iv_sweep_max_current,iv_sweep_duty_cycle,camera_1_on_off,camera_2_on_off,camera_3_on_off,camera_4_on_off,word_22_spare,video_output_camera_no,dynamics_profile_amplitude_start,dynamics_profile_amplitude_stop,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,word_31_spare,current_telemetry_format
38,09/27/2016 01:54:51.0012,402,1,0,51,48,0,0,0,1,1029,3,26,49,1650086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,11626,11626,11626,11626,11626,11626,0
39,09/27/2016 01:54:52.0933,402,1,0,51,48,0,0,0,1,1029,3,27,49,1651086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,12626,12626,12626,12626,12626,12626,0
40,09/27/2016 01:54:52.9864,402,1,0,51,48,0,0,0,1,1029,3,28,49,1652086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,13626,13626,13626,13626,13626,13626,0
41,09/27/2016 01:54:54.0765,402,1,0,51,48,0,0,0,1,1029,3,29,49,1653086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,14626,14626,14626,14626,14626,14626,0
42,09/27/2016 01:54:54.9716,402,1,0,51,48,0,0,0,1,1029,3,30,49,1654086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,15626,15626,15626,15626,15626,15626,0
43,09/27/2016 01:54:56.0627,402,1,0,51,48,0,0,0,1,1029,3,31,49,1655086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,16626,16626,16626,16626,16626,16626,0
44,09/27/2016 01:54:56.9608,402,1,0,51,48,0,0,0,1,1029,3,32,49,1656086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,17626,17626,17626,17626,17626,17626,0
45,09/27/2016 01:54:58.0519,402,1,0,51,48,0,0,0,1,1029,3,33,49,1657086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,18626,18626,18626,18626,18626,18626,0
46,09/27/2016 01:54:58.0619,402,1,0,51,48,0,0,0,1,1029,3,33,49,1657086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,18626,18626,18626,18626,18626,18626,0
47,09/27/2016 01:54:58.9600,402,1,0,51,48,0,0,0,1,1029,3,34,49,1658086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,19626,19626,19626,19626,19626,19626,0
