,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,damper_voltage_1,damper_voltage_2,word_13_spare,word_14_spare,word_15_spare,word_16_spare,temperature_1_left_damper,temperature_2_right_damper,temperature_3_center_mandrel,temperature_4_left_boom,temperature_5_right_boom,temperature_6_spm_1,temperature_7_spm_2,temperature_8_spm_3,temperature_9_spm_4,temperature_10_spm_5,temperature_11_spm_6,temperature_12_retraction_motor,temperature_13_spare,temperature_14_spare,temperature_15_spare,temperature_16_spare
20789,09/27/2016 02:01:33.9595,,402,1,0,52,48,0,0,0,1,1032,3,858,49,2052887,0,0,0.0709838867188,0.0659790039062,21210.0,21210.0,21210.0,21210.0,19.734375,268.5,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.0,268.0,273.0,273.25,273.25,273.0
20790,09/27/2016 02:01:35.0156,,402,1,0,52,48,0,0,0,1,1032,3,859,49,2053387,0,0,0.0709838867188,0.0659790039062,21710.0,21710.0,21710.0,21710.0,-238.375,268.5,268.5,268.25,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.0,273.0,273.0,273.0,273.0
20791,09/27/2016 02:01:35.0596,,402,1,0,52,48,0,0,0,1,1032,3,860,49,2053887,0,0,0.0709838867188,0.0659790039062,22210.0,22210.0,22210.0,22210.0,-238.375,268.5,268.5,268.25,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.0,273.0,273.0,273.0,273.0
20792,09/27/2016 02:01:35.9057,,402,1,0,52,48,0,0,0,1,1032,3,861,49,2054387,0,0,0.0709838867188,0.0659790039062,22710.0,22710.0,22710.0,22710.0,-238.375,268.5,268.5,268.25,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.0,273.0,273.0,273.0,273.0
20793,09/27/2016 02:01:35.9527,,402,1,0,52,48,0,0,0,1,1032,3,862,49,2054887,0,0,0.0709838867188,0.0659790039062,23210.0,23210.0,23210.0,23210.0,-238.375,268.5,268.5,268.25,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.0,273.0,273.0,273.0,273.0
20794,09/27/2016 02:01:37.0088,,402,1,0,52,48,0,0,0,1,1032,3,863,49,2055387,0,0,0.0709838867188,0.0659790039062,23710.0,23710.0,23710.0,23710.0,-238.375,268.5,268.5,268.25,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.0,273.0,273.0,273.0,273.0
20795,09/27/2016 02:01:37.0548,,402,1,0,52,48,0,0,0,1,1032,3,864,49,2055887,0,0,0.0709838867188,0.0659790039062,24210.0,24210.0,24210.0,24210.0,-238.375,268.5,268.5,268.25,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.0,273.0,273.0,273.0,273.0
20796,09/27/2016 02:01:37.9009,,402,1,0,52,48,0,0,0,1,1032,3,865,49,2056387,0,0,0.0709838867188,0.0662841796875,24710.0,24710.0,24710.0,24710.0,-217.125,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.0,268.25,273.25,273.0,273.25,273.0
20797,09/27/2016 02:01:37.9439,,402,1,0,52,48,0,0,0,1,1032,3,866,49,2056887,0,0,0.0709838867188,0.0663452148438,25210.0,25210.0,25210.0,25210.0,-217.125,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.0,268.25,273.25,273.0,273.25,273.0
20798,09/27/2016 02:01:39.0070,,402,1,0,52,48,0,0,0,1,1032,3,867,49,2057387,0,0,0.0709838867188,0.0660400390625,25710.0,25710.0,25710.0,25710.0,-217.125,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.0,268.25,273.25,273.0,273.25,273.0
20799,09/27/2016 02:01:39.0510,,402,1,0,52,48,0,0,0,1,1032,3,868,49,2057887,0,0,0.0709838867188,0.0660400390625,26210.0,26210.0,26210.0,26210.0,-217.125,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.0,268.25,273.25,273.0,273.25,273.0
20800,09/27/2016 02:01:39.8971,,402,1,0,52,48,0,0,0,1,1032,3,869,49,2058387,0,0,0.0709838867188,0.0659790039062,26710.0,26710.0,26710.0,26710.0,-217.125,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.0,268.25,273.25,273.0,273.25,273.0
20801,09/27/2016 02:01:39.9421,,402,1,0,52,48,0,0,0,1,1032,3,870,49,2058887,0,0,0.0709838867188,0.0659790039062,27210.0,27210.0,27210.0,27210.0,-217.125,268.25,268.5,268.25,257.0,257.0,257.0,257.0,268.25,268.0,268.0,268.25,273.25,273.0,273.25,273.0
20802,09/27/2016 02:01:40.9982,,402,1,0,52,48,0,0,0,1,1032,3,871,49,2059387,0,0,0.0709838867188,0.0662841796875,27710.0,27710.0,27710.0,27710.0,-239.0,268.5,268.5,268.25,257.0,257.0,257.25,257.0,268.25,268.25,268.25,268.0,273.25,273.25,273.25,273.25
20803,09/27/2016 02:01:41.0402,,402,1,0,52,48,0,0,0,1,1032,3,872,49,2059887,0,0,0.0709838867188,0.0660400390625,28210.0,28210.0,28210.0,28210.0,-239.0,268.5,268.5,268.25,257.0,257.0,257.25,257.0,268.25,268.25,268.25,268.0,273.25,273.25,273.25,273.25
20804,09/27/2016 02:01:41.8863,,402,1,0,52,48,0,0,0,1,1032,3,873,49,2060387,0,0,0.0709838867188,0.0659790039062,28710.0,28710.0,28710.0,28710.0,-239.0,268.5,268.5,268.25,257.0,257.0,257.25,257.0,268.25,268.25,268.25,268.0,273.25,273.25,273.25,273.25
20805,09/27/2016 02:01:41.9343,,402,1,0,52,48,0,0,0,1,1032,3,874,49,2060887,0,0,0.0709838867188,0.0659790039062,29210.0,29210.0,29210.0,29210.0,-239.0,268.5,268.5,268.25,257.0,257.0,257.25,257.0,268.25,268.25,268.25,268.0,273.25,273.25,273.25,273.25
20806,09/27/2016 02:01:42.9984,,402,1,0,52,48,0,0,0,1,1032,3,875,49,2061387,0,0,0.0709838867188,0.0659790039062,29710.0,29710.0,29710.0,29710.0,-242.5,268.5,268.5,268.5,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20807,09/27/2016 02:01:43.0414,,402,1,0,52,48,0,0,0,1,1032,3,876,49,2061887,0,0,0.0709838867188,0.0659790039062,30210.0,30210.0,30210.0,30210.0,-242.5,268.5,268.5,268.5,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20808,09/27/2016 02:01:43.8985,,402,1,0,52,48,0,0,0,1,1032,3,877,49,2062387,0,0,0.0709838867188,0.0659790039062,30710.0,30710.0,30710.0,30710.0,-242.5,268.5,268.5,268.5,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20809,09/27/2016 02:01:43.9435,,402,1,0,52,48,0,0,0,1,1032,3,878,49,2062887,0,0,0.0709838867188,0.0661010742188,31210.0,31210.0,31210.0,31210.0,-242.5,268.5,268.5,268.5,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
20810,09/27/2016 02:01:44.9996,,402,1,0,52,48,0,0,0,1,1032,3,879,49,2063387,0,0,0.0709838867188,0.0663452148438,31710.0,31710.0,31710.0,31710.0,-242.5,268.5,268.5,268.5,257.0,257.0,257.25,257.0,268.25,268.0,268.0,268.0,273.0,273.0,273.0,273.25
